贏得,ㄧㄥˊ ㄉㄜˊ,to win / to gain,
迎接,ㄧㄥˊ ㄐㄧㄝ,to meet / to welcome / to greet,
營養,ㄧㄥˊ ㄧㄤˇ,nutrition / nourishment,種
營業,ㄧㄥˊ ㄧㄝˋ,to do business / to trade,
影本,ㄧㄥˇ ㄅㄣˇ,copy (of a document) / book with model calligraphy for copying,
影印,ㄧㄥˇ ㄧㄣˋ,photographic reproduction / photocopying / photo-offset,
影子,ㄧㄥˇ ㄗ˙,shadow / reflection / (fig.) hint / indication / influence,個
硬,ㄧㄥˋ,hard / stiff / strong / firm / resolutely / doggedly / good (quality) / able (person),
應付,ㄧㄥˋ ㄈㄨˋ,to deal with / to cope,
應邀,ㄧㄥˋ ㄧㄠ,at sb's invitation / on invitation,
應用,ㄧㄥˋ ㄩㄥˋ,"to put to use / to apply / practical / applied (science, linguistics etc) / application / practical use / (computing) app",
擁抱,ㄩㄥˇ ㄅㄠˋ,to embrace / to hug,
擁護,ㄩㄥˇ ㄏㄨˋ,to endorse / to support,
擁擠,ㄩㄥˇ ㄐㄧˇ,crowded / to throng / congestion,
勇氣,ㄩㄥˇ ㄑㄧˋ,courage / valor,
用不著,ㄩㄥˋ ㄅㄨˋ ㄓㄠˊ,not need / have no use for,
用處,ㄩㄥˋ ㄔㄨˋ,usefulness,個
用得著,ㄩㄥˋ ㄉㄜ˙ ㄓㄠˊ,to be able to use / useable / to have a use for sth / (in interrogative sentence) to be necessary to,
用具,ㄩㄥˋ ㄐㄩˋ,appliance / utensil / gear / equipment,
用力,ㄩㄥˋ ㄌㄧˋ,to exert oneself physically,
用心,ㄩㄥˋ ㄒㄧㄣ,motive / intention / to be diligent or attentive / careful,
憂鬱,ㄧㄡ ㄩˋ,sullen / depressed / melancholy / dejected,
優惠,ㄧㄡ ㄏㄨㄟˋ,privilege / favorable (terms) / preferential (treatment) / discount (price),
優良,ㄧㄡ ㄌㄧㄤˊ,fine / good / first-rate,
優美,ㄧㄡ ㄇㄟˇ,graceful / fine / elegant,
優越,ㄧㄡ ㄩㄝˋ,superior / superiority,
由,ㄧㄡˊ,to follow / from / it is for...to / reason / cause / because of / due to / to / to leave it (to sb) / by (introduces passive verb),
油,ㄧㄡˊ,"oil / fat / grease / petroleum / to apply tung oil, paint or varnish / oily / greasy / glib / cunning",
油膩,ㄧㄡˊ ㄋㄧˋ,grease / greasy food / oily / rich (of food) / fatty / greasy and dirty / a slippery character,
游,ㄧㄡˊ,to swim / variant of 遊[you2],
郵差,ㄧㄡˊ ㄔㄞ,(old) postman,
郵件,ㄧㄡˊ ㄐㄧㄢˋ,mail / post / email,
遊戲,ㄧㄡˊ ㄒㄧˋ,game / to play,場
遊戲,ㄧㄡˊ ㄒㄧˋ,game / to play,場
遊行,ㄧㄡˊ ㄒㄧㄥˊ,march / parade / demonstration,
猶豫,ㄧㄡˊ ㄩˋ,to hesitate,
友好,ㄧㄡˇ ㄏㄠˇ,friendly / amicable / close friend,
有關,ㄧㄡˇ ㄍㄨㄢ,to have sth to do with / to relate to / related to / to concern / concerning,
有關,ㄧㄡˇ ㄍㄨㄢ,to have sth to do with / to relate to / related to / to concern / concerning,
有力,ㄧㄡˇ ㄌㄧˋ,powerful / forceful / vigorous,
有利,ㄧㄡˇ ㄌㄧˋ,advantageous / to have advantages / favorable,
有些,ㄧㄡˇ ㄒㄧㄝ,some / somewhat,
有些,ㄧㄡˇ ㄒㄧㄝ,some / somewhat,
娛樂,ㄩˊ ㄌㄜˋ,to entertain / to amuse / entertainment / recreation / amusement / hobby / fun / joy,
語調,ㄩˇ ㄉㄧㄠˋ,intonation,個
語氣,ㄩˇ ㄑㄧˋ,tone / manner of speaking / mood,個
語音,ㄩˇ ㄧㄣ,speech sounds / pronunciation / colloquial (rather than literary) pronunciation of a Chinese character / phonetic / audio / voice / (Internet) to voice chat / voice message,
與其,ㄩˇ ㄑㄧˊ,"rather than... / 與其其[yu3 qi2] A 不如[bu4 ru2] B (rather than A, better to B)",
遇,ㄩˋ,to meet / to encounter / to treat / to receive / opportunity / chance,
遇見,ㄩˋ ㄐㄧㄢˋ,to meet,
預報,ㄩˋ ㄅㄠˋ,forecast,
預定,ㄩˋ ㄉㄧㄥˋ,to schedule in advance,
預訂,ㄩˋ ㄉㄧㄥˋ,to place an order / to book ahead,
預計,ㄩˋ ㄐㄧˋ,to forecast / to predict / to estimate,
預算,ㄩˋ ㄙㄨㄢˋ,budget,
預先,ㄩˋ ㄒㄧㄢ,beforehand / in advance,
冤枉,ㄩㄢ ㄨㄤˇ,to accuse wrongly / to treat unjustly / injustice / wronged / not worthwhile,
冤枉,ㄩㄢ ㄨㄤˇ,to accuse wrongly / to treat unjustly / injustice / wronged / not worthwhile,
元旦,ㄩㄢˊ ㄉㄢˋ,New Year's Day,
原來,ㄩㄢˊ ㄌㄞˊ,"original / former / originally / formerly / at first / so, actually, as it turns out",
原理,ㄩㄢˊ ㄌㄧˇ,principle / theory,
原料,ㄩㄢˊ ㄌㄧㄠˋ,raw material,個
原始,ㄩㄢˊ ㄕˇ,first / original / primitive / original (document etc),
原先,ㄩㄢˊ ㄒㄧㄢ,originally / original / former,
原則,ㄩㄢˊ ㄗㄜˊ,principle / doctrine,個
原則上,ㄩㄢˊ ㄗㄜˊ ㄕㄤˋ,in principle / generally,
原子筆,ㄩㄢˊ ㄗˇ ㄅㄧˇ,ballpoint pen / also written 圓珠筆珠笔,
圓滿,ㄩㄢˊ ㄇㄢˇ,satisfactory / consummate / perfect,
圓形,ㄩㄢˊ ㄒㄧㄥˊ,round / circular,
緣故,ㄩㄢˊ ㄍㄨˋ,reason / cause,
遠大,ㄩㄢˇ ㄉㄚˋ,far-reaching / broad / ambitious / promising,
願,ㄩㄢˋ,to hope / to wish / to desire / hoped-for / ready / willing,
月分,ㄩㄝˋ ㄈㄣˋ,month / also written 月份[yue4 fen4],
月光,ㄩㄝˋ ㄍㄨㄤ,moonlight,
月球,ㄩㄝˋ ㄑㄧㄡˊ,the moon,
暈,ㄩㄣ,dizzy / halo / ring around moon or sun,
允許,ㄩㄣˇ ㄒㄩˇ,to permit / to allow,
運輸,ㄩㄣˋ ㄕㄨ,to transport / to carry / transportation,
運送,ㄩㄣˋ ㄙㄨㄥˋ,to transport / to carry,
運用,ㄩㄣˋ ㄩㄥˋ,to use / to put to use,
運轉,ㄩㄣˋ ㄓㄨㄢˇ,to work / to operate / to revolve / to turn around,
砸,ㄗㄚˊ,to smash / to pound / to fail / to muck up / to bungle,
雜,ㄗㄚˊ,mixed / miscellaneous / various / to mix,
災害,ㄗㄞ ㄏㄞˋ,calamity / disaster,個
災難,ㄗㄞ ㄋㄢˋ,disaster / catastrophe,
在乎,ㄗㄞˋ ㄏㄨ,to care about / equivalent of 在於于[zai4 yu2],
再度,ㄗㄞˋ ㄉㄨˋ,once more / once again / one more time,
再說,ㄗㄞˋ ㄕㄨㄛ,to say again / to put off a discussion until later / moreover / what's more / besides,
載,ㄗㄞˋ,to carry / to convey / to load / to hold / to fill up / and / also / as well as / simultaneously,
咱們,ㄗㄢˊ ㄇㄣ˙,we or us (including both the speaker and the person(s) spoken to) / (dialect) I or me / (dialect) (in a coaxing or familiar way) you / also pr. [za2 men5],
贊成,ㄗㄢˋ ㄔㄥˊ,to approve / to endorse / (literary) to assist,
贊同,ㄗㄢˋ ㄊㄨㄥˊ,to approve of / to endorse / (vote) in favor,
讚美,ㄗㄢˋ ㄇㄟˇ,to admire / to praise / to eulogize,
葬禮,ㄗㄤˋ ㄌㄧˇ,burial / funeral,
糟,ㄗㄠ,dregs / draff / pickled in wine / rotten / messy / ruined,
糟糕,ㄗㄠ ㄍㄠ,too bad / how terrible / what bad luck / terrible / bad,
遭到,ㄗㄠ ㄉㄠˋ,to suffer / to meet with (sth unfortunate),
遭受,ㄗㄠ ㄕㄡˋ,"to suffer / to sustain (loss, misfortune)",
遭遇,ㄗㄠ ㄩˋ,to meet with / to encounter / (bitter) experience,
早晨,ㄗㄠˇ ㄔㄣˊ,early morning,個
早點,ㄗㄠˇ ㄉㄧㄢˇ,breakfast,
早點,ㄗㄠˇ ㄉㄧㄢˇ,breakfast,
早晚,ㄗㄠˇ ㄨㄢˇ,morning and evening / sooner or later,
早已,ㄗㄠˇ ㄧˇ,long ago / for a long time,
造,ㄗㄠˋ,to make / to build / to manufacture / to invent / to fabricate / to go to / party (in a lawsuit or legal agreement) / crop / classifier for crops,
造句,ㄗㄠˋ ㄐㄩˋ,sentence-making,
則,ㄗㄜˊ,(conjunction used to express contrast with a previous clause) but / then / standard / norm / principle / to imitate / to follow / classifier for written items,
則,ㄗㄜˊ,(conjunction used to express contrast with a previous clause) but / then / standard / norm / principle / to imitate / to follow / classifier for written items,
怎,ㄗㄣˇ,how,
增長,ㄗㄥ ㄓㄤˇ,to grow / to increase,
贈品,ㄗㄥˋ ㄆㄧㄣˇ,gift / complimentary item / freebie / giveaway,
贈送,ㄗㄥˋ ㄙㄨㄥˋ,to present as a gift,
窄,ㄓㄞˇ,narrow / narrow-minded / badly off,
展出,ㄓㄢˇ ㄔㄨ,to put on display / to be on show / to exhibit,
展開,ㄓㄢˇ ㄎㄞ,to unfold / to carry out / to be in full swing / to launch,
展覽,ㄓㄢˇ ㄌㄢˇ,to put on display / to exhibit / exhibition / show,個 / 次
展覽,ㄓㄢˇ ㄌㄢˇ,to put on display / to exhibit / exhibition / show,個 / 次
展示,ㄓㄢˇ ㄕˋ,to reveal / to display / to show / to exhibit sth,
占,ㄓㄢˋ,to take possession of / to occupy / to take up,
佔,ㄓㄢˋ,variant of 占[zhan4],
占,ㄓㄢˋ,to take possession of / to occupy / to take up,
佔,ㄓㄢˋ,variant of 占[zhan4],
占,ㄓㄢˋ ㄧㄡˇ,to take possession of / to occupy / to take up,
佔有,ㄓㄢˋ ㄧㄡˇ,to have / to own / to hold / to occupy / to possess / to account for (a high proportion etc),
站住,ㄓㄢˋ ㄓㄨˋ,to stand,
戰場,ㄓㄢˋ ㄔㄤˇ,battlefield,個
張,ㄓㄤ,"to open up / to spread / sheet of paper / classifier for flat objects, sheet / classifier for votes",
章,ㄓㄤ,chapter / section / clause / movement (of symphony) / seal / badge / regulation / order,
長,ㄓㄤˇ,chief / head / elder / to grow / to develop / to increase / to enhance,
長輩,ㄓㄤˇ ㄅㄟˋ,one's elders / older generation,
漲,ㄓㄤˇ,to swell / to distend,
漲價,ㄓㄤˇ ㄐㄧㄚˋ,to appreciate (in value) / to increase in price,
掌聲,ㄓㄤˇ ㄕㄥ,applause,陣
帳單,ㄓㄤˋ ㄉㄢ,bill / check,
丈夫,ㄓㄤˋ ㄈㄨ,husband,個
招呼,ㄓㄠ ㄏㄨ,to call out to / to greet / to say hello to / to inform / to take care of / to take care that one does not,
招手,ㄓㄠ ㄕㄡˇ,to wave / to beckon,
照,ㄓㄠˋ,according to / in accordance with / to shine / to illuminate / to reflect / to look at (one's reflection) / to take (a photo) / photo / as requested / as before,
照常,ㄓㄠˋ ㄔㄤˊ,as usual,
召開,ㄓㄠˋ ㄎㄞ,to convene (a conference or meeting) / to convoke / to call together,
折,ㄓㄜˊ,to break / to fracture / to snap / to suffer loss / to bend / to twist / to turn / to change direction / convinced / to convert into (currency) / discount / rebate / tenth (in price) / classifier for theatrical scenes / to fold / accounts book,
折合,ㄓㄜˊ ㄏㄜˊ,to convert into / to amount to / to be equivalent to,
折扣,ㄓㄜˊ ㄎㄡˋ,discount,
折磨,ㄓㄜˊ ㄇㄛˊ,to torment / to torture,
者,ㄓㄜˇ,"(after a verb or adjective) one who (is) ... / (after a noun) person involved in ... / -er / -ist / (used after a number or 後[hou4] or 前[qian2] to refer to sth mentioned previously) / (used after a term, to mark a pause before defining the term) / (old) (used at the end of a command) / (old) this",
針,ㄓㄣ,needle / pin / injection / stitch,根 / 支
針對,ㄓㄣ ㄉㄨㄟˋ,to target / to focus on / to be aimed at or against / in response to,
偵探,ㄓㄣ ㄊㄢˋ,detective / to do detective work,
珍惜,ㄓㄣ ㄒㄧˊ,to treasure / to value / to cherish,
珍珠,ㄓㄣ ㄓㄨ,pearl,顆
真心,ㄓㄣ ㄒㄧㄣ,sincere / heartfelt,片
枕頭,ㄓㄣˇ ㄊㄡˊ,pillow,
陣,ㄓㄣˋ,disposition of troops / wave / spate / burst / spell / short period of time / classifier for events or states of short duration,
陣子,ㄓㄣˋ ㄗ˙,period of time,
震動,ㄓㄣˋ ㄉㄨㄥˋ,to shake / to vibrate / to strongly affect / shock / vibration,
爭,ㄓㄥ,to strive for / to vie for / to argue or debate / deficient or lacking (dialect) / how or what (literary),
爭論,ㄓㄥ ㄌㄨㄣˋ,to argue / to debate / to contend / argument / contention / controversy / debate,次 / 場
爭取,ㄓㄥ ㄑㄩˇ,to fight for / to strive for / to win over,
睜,ㄓㄥ,to open (one's eyes),
徵求,ㄓㄥ ㄑㄧㄡˊ,"to solicit / to seek / to request (opinions, feedback etc) / to petition",
正月,ㄓㄥ ㄩㄝˋ,first month of the lunar year,
整,ㄓㄥˇ,exactly / in good order / whole / complete / entire / in order / orderly / to repair / to mend / to renovate / (coll.) to fix sb / to give sb a hard time / to mess with sb,
整,ㄓㄥˇ,exactly / in good order / whole / complete / entire / in order / orderly / to repair / to mend / to renovate / (coll.) to fix sb / to give sb a hard time / to mess with sb,
整潔,ㄓㄥˇ ㄐㄧㄝˊ,neatly / tidy,
整數,ㄓㄥˇ ㄕㄨˋ,whole number / integer (math.) / round figure,
正,ㄓㄥˋ,straight / upright / proper / main / principal / to correct / to rectify / exactly / just (at that time) / right (in that place) / (math.) positive,
正方形,ㄓㄥˋ ㄈㄤ ㄒㄧㄥˊ,square,
正規,ㄓㄥˋ ㄍㄨㄟ,regular / according to standards,
正好,ㄓㄥˋ ㄏㄠˇ,just (in time) / just right / just enough / to happen to / to chance to / by chance / it just so happens that,
正好,ㄓㄥˋ ㄏㄠˇ,just (in time) / just right / just enough / to happen to / to chance to / by chance / it just so happens that,
正經,ㄓㄥˋ ㄐㄧㄥ,decent / honorable / proper / serious / according to standards,
正面,ㄓㄥˋ ㄇㄧㄢˋ,front / obverse side / right side / positive / direct / open,
政策,ㄓㄥˋ ㄘㄜˋ,policy,個
政黨,ㄓㄥˋ ㄉㄤˇ,political party,個
政府,ㄓㄥˋ ㄈㄨˇ,government,個
證件,ㄓㄥˋ ㄐㄧㄢˋ,certificate / papers / credentials / document / ID,
證據,ㄓㄥˋ ㄐㄩˋ,evidence / proof / testimony,
證明,ㄓㄥˋ ㄇㄧㄥˊ,proof / certificate / identification / testimonial / to prove / to testify / to confirm the truth of,個
證實,ㄓㄥˋ ㄕˊ,to confirm (sth to be true) / to verify,
症狀,ㄓㄥˋ ㄓㄨㄤˋ,symptom (of an illness),
之,ㄓ,"(possessive particle, literary equivalent of 的[de5]) / him / her / it",
之,ㄓ,"(possessive particle, literary equivalent of 的[de5]) / him / her / it",
之間,ㄓ ㄐㄧㄢ,between / among / inter-,
之類,ㄓ ㄌㄟˋ,and so on / and such,
支,ㄓ,"to support / to sustain / to erect / to raise / branch / division / to draw money / classifier for rods such as pens and guns, for army divisions and for songs or compositions",
支持,ㄓ ㄔˊ,to be in favor of / to support / to back / support / backing / to stand by,個
支出,ㄓ ㄔㄨ,to spend / to pay out / expense,
支票,ㄓ ㄆㄧㄠˋ,check (bank) / cheque,本
支援,ㄓ ㄩㄢˊ,to provide assistance / to support / to back,
直,ㄓˊ,straight / to straighten / fair and reasonable / frank / straightforward / (indicates continuing motion or action) / vertical / vertical downward stroke in Chinese characters,
直接,ㄓˊ ㄐㄧㄝ,direct (opposite: indirect 間接接[jian4 jie1]) / immediate / straightforward,
直線,ㄓˊ ㄒㄧㄢˋ,straight line / sharply (rise or fall),
值,ㄓˊ,value / (to be) worth / to happen to / to be on duty,
擲,ㄓˊ,to toss / to throw dice / Taiwan pr. [zhi2],
職位,ㄓˊ ㄨㄟˋ,post / office / position,
執行,ㄓˊ ㄒㄧㄥˊ,to implement / to carry out / to execute / to run,
止,ㄓˇ,to stop / to prohibit / until / only,
只,ㄓˇ,only / merely / just / but,
只是,ㄓˇ ㄕˋ,merely / simply / only / but,
指,ㄓˇ,finger / to point at or to / to indicate or refer to / to depend on / to count on / (of hair) to stand on end,
指出,ㄓˇ ㄔㄨ,to indicate / to point out,
指導,ㄓˇ ㄉㄠˇ,to guide / to give directions / to direct / to coach / guidance / tuition,個
指定,ㄓˇ ㄉㄧㄥˋ,to appoint / to assign / to indicate clearly and with certainty / designated,
指示,ㄓˇ ㄕˋ,to point out / to indicate / to instruct / directives / instructions,個
指示,ㄓˇ ㄕˋ,to point out / to indicate / to instruct / directives / instructions,個
指責,ㄓˇ ㄗㄜˊ,to criticize / to find fault with / to denounce,
紙張,ㄓˇ ㄓㄤ,paper,
治,ㄓˋ,to rule / to govern / to manage / to control / to harness (a river) / to treat (a disease) / to wipe out (a pest) / to punish / to research,
至,ㄓˋ,to arrive / most / to / until,
制定,ㄓˋ ㄉㄧㄥˋ,to draw up / to formulate,
制止,ㄓˋ ㄓˇ,to curb / to put a stop to / to stop / to check / to limit,
志氣,ㄓˋ ㄑㄧˋ,ambition / resolve / backbone / drive / spirit,
志願,ㄓˋ ㄩㄢˋ,aspiration / ambition / to volunteer,
秩序,ㄓˋ ㄒㄩˋ,order (orderly) / order (sequence) / social order / the state (of society),個
製造,ㄓˋ ㄗㄠˋ,to manufacture / to make,
製作,ㄓˋ ㄗㄨㄛˋ,to make / to manufacture,
中,ㄓㄨㄥ,"to hit (the mark) / to be hit by / to suffer / to win (a prize, a lottery)",
中級,ㄓㄨㄥ ㄐㄧˊ,middle level (in a hierarchy),
中年,ㄓㄨㄥ ㄋㄧㄢˊ,middle age,
中途,ㄓㄨㄥ ㄊㄨˊ,midway,
中央,ㄓㄨㄥ ㄧㄤ,central / middle / center / central authorities (of a state),
中藥,ㄓㄨㄥ ㄧㄠˋ,(traditional) Chinese medicine,服 / 種
腫,ㄓㄨㄥˇ,to swell / swelling / swollen,
種類,ㄓㄨㄥˇ ㄌㄟˋ,kind / genus / type / category / variety / species / sort / class,
種子,ㄓㄨㄥˇ ㄗˇ,seed,顆 / 粒
種族,ㄓㄨㄥˇ ㄗㄨˊ,race / ethnicity,
中,ㄓㄨㄥˋ,"to hit (the mark) / to be hit by / to suffer / to win (a prize, a lottery)",
中毒,ㄓㄨㄥˋ ㄉㄨˊ,to be poisoned / poisoning,
重,ㄓㄨㄥˋ,heavy / serious / to attach importance to,
重大,ㄓㄨㄥˋ ㄉㄚˋ,great / important / major / significant,
重量,ㄓㄨㄥˋ ㄌㄧㄤˋ,weight,個
重傷,ㄓㄨㄥˋ ㄕㄤ,seriously hurt / serious injury,
重傷,ㄓㄨㄥˋ ㄕㄤ,seriously hurt / serious injury,
重心,ㄓㄨㄥˋ ㄒㄧㄣ,center of gravity / central core / main part,
州,ㄓㄡ,prefecture / (old) province / (old) administrative division / state (e.g. of US) / oblast (Russia) / canton (Switzerland),
周,ㄓㄡ,to make a circuit / to circle / circle / circumference / lap / cycle / complete / all / all over / thorough / to help financially,
週,ㄓㄡ,week / weekly / variant of 周[zhou1],
周到,ㄓㄡ ㄉㄠˋ,thoughtful / considerate / attentive / thorough / also pr. [zhou1 dao5],
粥,ㄓㄡ,congee / gruel / porridge,碗
竹,ㄓㄨˊ,bamboo / Kangxi radical 118,棵 / 支 / 根
竹子,ㄓㄨˊ ㄗ˙,bamboo,棵 / 支 / 根
逐漸,ㄓㄨˊ ㄐㄧㄢˋ,gradually,
主辦,ㄓㄨˇ ㄅㄢˋ,to organize / to host (a conference or sports event),
主持,ㄓㄨˇ ㄔˊ,to take charge of / to manage or direct / to preside over / to uphold / to stand for (justice etc) / to host (a TV or radio program etc) / (TV) anchor,
主觀,ㄓㄨˇ ㄍㄨㄢ,subjective,
主角,ㄓㄨˇ ㄐㄧㄠˇ,leading role / lead,
主席,ㄓㄨˇ ㄒㄧˊ,chairperson / premier / chairman,個 / 位
主張,ㄓㄨˇ ㄓㄤ,to advocate / to stand for / view / position / stand / proposition / viewpoint / assertion,個
主張,ㄓㄨˇ ㄓㄤ,to advocate / to stand for / view / position / stand / proposition / viewpoint / assertion,個
祝賀,ㄓㄨˋ ㄏㄜˋ,to congratulate / congratulations,個
住院,ㄓㄨˋ ㄩㄢˋ,to be in hospital / to be hospitalized,
住宅,ㄓㄨˋ ㄓㄞˊ,residence / tenement,
住址,ㄓㄨˋ ㄓˇ,address,
注射,ㄓㄨˋ ㄕㄜˋ,injection / to inject,
註冊,ㄓㄨˋ ㄘㄜˋ,to register / to enroll,
專家,ㄓㄨㄢ ㄐㄧㄚ,expert / specialist,個
專利,ㄓㄨㄢ ㄌㄧˋ,patent / sth uniquely enjoyed (or possessed etc) by a certain group of people / monopoly,
專門,ㄓㄨㄢ ㄇㄣˊ,specialist / specialized / customized,
專人,ㄓㄨㄢ ㄖㄣˊ,specialist / person appointed for specific task,
專業,ㄓㄨㄢ ㄧㄝˋ,specialty / specialized field / main field of study (at university) / major / professional,門 / 個
轉,ㄓㄨㄢˇ,"to revolve / to turn / to circle about / to walk about / classifier for revolutions (per minute etc): revs, rpm / classifier for repeated actions",
轉變,ㄓㄨㄢˇ ㄅㄧㄢˋ,to change / to transform / shift / transformation,個
轉播,ㄓㄨㄢˇ ㄅㄛˋ,relay / broadcast (on radio or TV),
轉達,ㄓㄨㄢˇ ㄉㄚˊ,to pass on / to convey / to communicate,
轉告,ㄓㄨㄢˇ ㄍㄠˋ,to pass on / to communicate / to transmit,
轉機,ㄓㄨㄢˇ ㄐㄧ,(to take) a turn for the better / to change planes,
轉身,ㄓㄨㄢˇ ㄕㄣ,(of a person) to turn round / to face about / (of a widow) to remarry (archaic),
轉向,ㄓㄨㄢˇ ㄒㄧㄤˋ,to get lost / to lose one's way,
轉,ㄓㄨㄢˋ,"to revolve / to turn / to circle about / to walk about / classifier for revolutions (per minute etc): revs, rpm / classifier for repeated actions",
賺,ㄓㄨㄢˋ,to cheat / to swindle,
裝飾,ㄓㄨㄤ ㄕˋ,to decorate / decoration / decorative / ornamental,
壯,ㄓㄨㄤˋ,to strengthen / strong / robust,
撞,ㄓㄨㄤˋ,to knock against / to bump into / to run into / to meet by accident,
狀況,ㄓㄨㄤˋ ㄎㄨㄤˋ,condition / state / situation,個
追,ㄓㄨㄟ,to chase after / to seek / to do one's utmost to seek or procure sth / to recall,
准,ㄓㄨㄣˇ,to allow / to grant / in accordance with / in the light of,
准考證,ㄓㄨㄣˇ ㄎㄠˇ ㄓㄥˋ,(exam) admission ticket,
准考証,ㄓㄨㄣˇ ㄎㄠˇ ㄓㄥˋ,(exam) admission ticket,
準,ㄓㄨㄣˇ,"accurate / standard / definitely / certainly / about to become (bride, son-in-law etc) / quasi- / para-",
準確,ㄓㄨㄣˇ ㄑㄩㄝˋ,accurate / exact / precise,
捉,ㄓㄨㄛ,to clutch / to grab / to capture,
桌,ㄓㄨㄛ,table / desk / classifier for tables of guests at a banquet etc,
資本,ㄗ ㄅㄣˇ,capital (economics),
資格,ㄗ ㄍㄜˊ,qualifications / seniority,
資金,ㄗ ㄐㄧㄣ,funds / funding / capital,
資訊,ㄗ ㄒㄩㄣˋ,information,
紫,ㄗˇ,purple / violet,
子女,ㄗˇ ㄋㄩˇ,children / sons and daughters,
字幕,ㄗˋ ㄇㄨˋ,caption / subtitle,
字母,ㄗˋ ㄇㄨˇ,letter (of the alphabet),個
自來水,ㄗˋ ㄌㄞˊ ㄕㄨㄟˇ,running water / tap water,
自然,ㄗˋ ㄖㄢˊ,nature / natural / naturally,
自私,ㄗˋ ㄙ,selfish / selfishness,
自我,ㄗˋ ㄨㄛˇ,self- / ego (psychology),
自信,ㄗˋ ㄒㄧㄣˋ,to have confidence in oneself / self-confidence,
